University,Country,Rank Min,Rank Max,Overall Score
massachusetts institute of technology mit,United States,1,1,80.00
imperial college london,United Kingdom,2,2,73.40
university of oxford,United Kingdom,3,3,78.00
harvard university,United States,4,4,82.40
university of cambridge,United Kingdom,5,5,78.40
stanford university,United States,6,6,86.50
eth zurich,switzerland,7,7,64.80
national university of singapore nus,singapore,8,8,63.20
ucl,United Kingdom,9,9,74.00
california institute of technology caltech,United States,10,10,95.30
