iteration	baseline_score	candidate_score	baseline_errors	candidate_errors	decision	modifier_returncode	prompt_file	modifier_log	baseline_report	candidate_report	notes
1	0.950000		0		revert	127	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_001.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter001.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json		modifier command failed
2	0.950000		0		revert	127	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_002.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter002.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json		modifier command failed
3	0.950000		0		revert	127	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_003.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter003.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json		modifier command failed
1	0.950000	0.950000	0	0	revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_001.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter001.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/candidate_iter001.json	score improvement 0.000000 below threshold 0.000100
2	0.950000	0.950000	0	0	revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_002.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter002.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/candidate_iter002.json	score improvement 0.000000 below threshold 0.000100
3	0.950000	0.950000	0	0	revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_003.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter003.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/candidate_iter003.json	score improvement 0.000000 below threshold 0.000100
1	0.950000	0.950000	0	0	revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_001.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter001.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/candidate_iter001.json	score improvement 0.000000 below threshold 0.000100
2	0.950000	0.950000	0	0	revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_002.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter002.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/candidate_iter002.json	score improvement 0.000000 below threshold 0.000100
3	0.950000	0.950000	0	0	revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_003.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter003.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/candidate_iter003.json	score improvement 0.000000 below threshold 0.000100
1	0.950000		0		revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_001.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter001.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json		"candidate eval failed: Evaluator failed:
Traceback (most recent call last):
  File ""/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/runners/run_extractor_eval.py"", line 714, in <module>
    raise SystemExit(main())
                     ~~~~^^
  File ""/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/runners/run_extractor_eval.py"", line 664, in main
    extractor_fn = try_load_extractor_callable(extractor_file)
  File ""/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/runners/run_extractor_eval.py"", line 285, in try_load_extractor_callable
    spec.loader.exec_module(module)
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^
  File ""<frozen importlib._bootstrap_external>"", line 755, in exec_module
  File ""<frozen importlib._bootstrap_external>"", line 893, in get_code
  File ""<frozen importlib._bootstrap_external>"", line 823, in source_to_code
  File ""<frozen importlib._bootstrap>"", line 491, in _call_with_frames_removed
  File ""/Users/test/Desktop/crawlernest/crawlernest/crawlernest-extractors/extractor.py"", line 8
    r""(application deadline|deadline|apply by|applications close)\s*[:\-]?\s*([A-Za-z]{3,9}\s+\d{1,2}(?:,\s*\d{4})?)"",
IndentationError: unexpected indent"
2	0.950000	0.950000	0	0	revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_002.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter002.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/candidate_iter002.json	score improvement 0.000000 below threshold 0.000100
3	0.950000	0.950000	0	0	revert	0	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/prompts/iter_003.prompt.md	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/logs/modifier_iter003.log	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/baseline_iter0.json	/Users/test/Desktop/crawlernest/crawlernest/crawlernest-autoeval/sandbox/autoloop/reports/candidate_iter003.json	score improvement 0.000000 below threshold 0.000100
