QS Rank,University,Country,GMAT,GRE,GPA,IELTS,TOEFL,Duolingo,Overall Score,URL
1,Massachusetts Institute of Technology (MIT),United States,728,N/A,N/A,5.5,100,135,80,/universities/massachusetts-institute-technology-mit
2,Imperial College London,United Kingdom,457,314,3.35,5.25,92,115,73.4,/universities/imperial-college-london
3,University of Oxford,United Kingdom,N/A,260,3.65,5.5,100,N/A,78,/universities/university-oxford
4,Harvard University,United States,610,298,3.7,5.75,104,140,82.4,/universities/harvard-university
5,University of Cambridge,United Kingdom,N/A,N/A,3.62,5.5,100,N/A,78.4,/universities/university-cambridge
6,Stanford University,United States,600,307,3.86,N/A,101,N/A,86.5,/universities/stanford-university
7,ETH Zurich,Switzerland,N/A,N/A,2,5.5,100,N/A,64.8,/universities/eth-zurich
8,National University of Singapore (NUS),Singapore,N/A,N/A,N/A,5,85,N/A,63.2,/universities/national-university-singapore-nus
9,UCL,United Kingdom,600,260,3.35,5.25,92,N/A,74,/universities/ucl
10,California Institute of Technology (Caltech),United States,N/A,329,3.75,N/A,N/A,N/A,95.3,/universities/california-institute-technology-caltech
