QS Rank,University,Country,GMAT,GRE,GPA,IELTS,TOEFL,Duolingo,Overall Score,URL
1,Massachusetts Institute of Technology (MIT),United States,728,N/A,N/A,5.5,100,135,80,/universities/massachusetts-institute-technology-mit
2,Stanford University,United States,600,307,3.86,N/A,101,N/A,86.5,/universities/stanford-university
3,Carnegie Mellon University,United States,N/A,N/A,3.5,5.75,100,112.5,76.3,/universities/carnegie-mellon-university
4,National University of Singapore (NUS),Singapore,N/A,N/A,N/A,5,85,N/A,63.2,/universities/national-university-singapore-nus
5,University of Oxford,United Kingdom,N/A,260,3.65,5.5,100,N/A,78,/universities/university-oxford
6,"Nanyang Technological University, Singapore (NTU Singapore)",Singapore,N/A,N/A,N/A,5.25,100,N/A,70.8,/universities/nanyang-technological-university-singapore-ntu-singapore
7,Harvard University,United States,610,298,3.7,5.75,104,140,82.4,/universities/harvard-university
8,"University of California, Berkeley (UCB)",United States,505,320,3.5,5.5,90,N/A,76.2,/universities/university-california-berkeley-ucb
9,University of Cambridge,United Kingdom,N/A,N/A,3.62,5.5,100,N/A,78.4,/universities/university-cambridge
10,ETH Zurich,Switzerland,N/A,N/A,2,5.5,100,N/A,64.8,/universities/eth-zurich
